,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_channelExponent,params_dropout,params_learning_rate,params_weight_decay,state
79,79,4.303129046510309,2024-04-29 15:28:30.363748,2024-04-29 15:51:45.003781,0 days 00:23:14.640033,0.8746640115758394,0.879923709198424,8,0.07388268489771849,0.000569212737594256,1.82378650588981e-05,COMPLETE
80,80,4.8442579502667185,2024-04-29 15:33:01.984448,2024-04-29 15:57:01.273062,0 days 00:23:59.288614,0.8233289595503124,0.8771224772993066,8,0.1683829513667834,0.0008137824925851292,1.7632107737417142e-05,COMPLETE
81,81,4.226436145377882,2024-04-29 15:37:23.105342,2024-04-29 15:59:20.215000,0 days 00:21:57.109658,0.84833453852993,0.9187188804272198,8,0.07704259958162261,0.000659762383912043,8.613986049701554e-05,COMPLETE
82,82,4.451978383126197,2024-04-29 15:46:18.580813,2024-04-29 16:05:01.176662,0 days 00:18:42.595849,0.824759977554145,0.9178492598916378,8,0.08044383369129872,0.0006809898752659063,8.455227265987963e-05,COMPLETE
83,83,4.102066184535171,2024-04-29 15:51:45.026492,2024-04-29 16:08:04.454674,0 days 00:16:19.428182,0.82565758690593,0.5091735518966287,8,0.013673301885897564,0.0012272784110697388,1.1219086337161033e-05,COMPLETE
84,84,4.960611028588695,2024-04-29 15:57:01.290913,2024-04-29 16:09:51.647547,0 days 00:12:50.356634,0.7194633455659752,0.5425018816029612,7,0.07762004211958487,0.0037756687131192627,1.1806701427858601e-05,COMPLETE
85,85,3.768444096371209,2024-04-29 15:59:20.229496,2024-04-29 16:10:48.920640,0 days 00:11:28.691144,0.684854517473146,0.9514118452946305,7,0.015925782185099057,0.001304931549295427,1.2267715676951895e-05,COMPLETE
86,86,3.815580299922398,2024-04-29 16:05:01.192516,2024-04-29 16:14:21.753777,0 days 00:09:20.561261,0.7228569324771534,0.9510418262797958,7,0.013473148903032282,0.0012509530547584018,3.8836316583954575e-06,COMPLETE
87,87,4.055939780685293,2024-04-29 16:08:04.473357,2024-04-29 16:16:26.993556,0 days 00:08:22.520199,0.7190949022082017,0.948641202770192,7,0.05256532081626563,0.0009001322781998379,5.058913107608259e-06,COMPLETE
88,88,3.905713735720812,2024-04-29 16:09:51.667798,2024-04-29 16:19:00.325100,0 days 00:09:08.657302,0.7488704010715663,0.9471548178557834,7,0.0326745287058267,0.0008863430638433096,3.8013395313151258e-06,COMPLETE
89,89,4.265458344381093,2024-04-29 16:10:48.934699,2024-04-29 16:20:07.205776,0 days 00:09:18.271077,0.7497457409607333,0.9375401916318712,7,0.04564903387359547,0.0009374782916361955,4.216545348540633e-06,COMPLETE
90,90,4.043280811020822,2024-04-29 16:14:21.768103,2024-04-29 16:24:39.099552,0 days 00:10:17.331449,0.8104911014975162,0.8621514944603466,5,0.05044971563736094,0.0009355715000838747,4.205659038640316e-06,COMPLETE
91,91,3.5210873688454236,2024-04-29 16:16:27.011502,2024-04-29 16:31:25.385650,0 days 00:14:58.374148,0.8072814030223083,0.9978063756830076,8,0.09550046005474377,0.0001112500105346072,1.5291088316353176e-05,COMPLETE
92,92,4.008107882041435,2024-04-29 16:19:00.344704,2024-04-29 16:36:23.632927,0 days 00:17:23.288223,0.8091671686335945,0.9959844721788693,6,0.0966999307057089,0.0003200331367868339,1.645777102126488e-05,COMPLETE
93,93,4.02160179769838,2024-04-29 16:20:07.220484,2024-04-29 16:38:20.832865,0 days 00:18:13.612381,0.8104565531811164,0.9739534649068461,8,0.0994262543986234,0.0025984389709789177,1.4995393694680092e-05,COMPLETE
94,94,3.5975457507294495,2024-04-29 16:24:39.114052,2024-04-29 16:44:56.926073,0 days 00:20:17.812021,0.6192425593217229,0.9956605080726515,8,0.10829363534716567,0.00015032722597023762,8.811414918479445e-06,COMPLETE
95,95,3.6848857258305405,2024-04-29 16:31:25.419543,2024-04-29 16:52:06.682924,0 days 00:20:41.263381,0.7918830810237336,0.9988568113040701,8,0.09514795460049988,0.00010821713748680159,1.4022755853372932e-05,COMPLETE
96,96,3.667411372775123,2024-04-29 16:36:23.648301,2024-04-29 16:56:36.268774,0 days 00:20:12.620473,0.7710719988163498,0.9752751635398704,8,0.12115629771967623,0.00015070970642822758,1.4826213050324077e-05,COMPLETE
97,97,3.608848135192673,2024-04-29 16:38:20.943119,2024-04-29 16:57:30.962582,0 days 00:19:10.019463,0.7703838018018009,0.8171749258183865,8,0.11987588314292663,0.00010744038310913124,2.2672679536929347e-05,COMPLETE
98,98,4.848656261122072,2024-04-29 16:44:56.941708,2024-04-29 17:00:27.447625,0 days 00:15:30.505917,0.79348390018935,0.6564966996656402,8,0.12030919953213948,0.0006569817549234158,2.261804624116066e-05,COMPLETE
99,99,4.817028618478155,2024-04-29 16:52:06.698166,2024-04-29 17:02:21.272578,0 days 00:10:14.574412,0.665032607472259,0.8338248636896469,8,0.11730314514252942,0.0006231812756153644,2.2882537988071893e-05,COMPLETE
